Channel,Slope,Intercept,Corr,Npoints,Status
bpm2i00XP,2.45633,-1446.32,0.999919,98,GOOD
bpm2i00XM,2.45282,-929.754,0.999911,98,GOOD
bpm2i00YP,2.45525,-156.656,0.999904,98,GOOD
bpm2i00YM,2.44612,-609.937,0.999917,98,GOOD
bpm2i00aXP,2.44878,-11367.3,0.999789,98,GOOD
bpm2i00aXM,2.44091,-11912,0.999838,98,GOOD
bpm2i00aYP,2.46631,-7827.75,0.99987,98,GOOD
bpm2i00aYM,2.45295,-7714.63,0.999914,98,GOOD
bpm2i01aXP,2.46019,-8213.42,0.99994,98,GOOD
bpm2i01aXM,2.45412,-7017.43,0.999866,98,GOOD
bpm2i01aYP,2.45745,-5114.21,0.999912,98,GOOD
bpm2i01aYM,2.43217,-4150.74,0.999884,98,GOOD
bpm1i02XP,2.42777,-11476.7,0.999868,98,GOOD
bpm1i02XM,2.64161,-6897.57,0.999903,98,GOOD
bpm1i02YP,1.19946,8717.13,0.999845,98,GOOD
bpm1i02YM,4.65318,-42909.2,0.999862,98,GOOD
bpm1i04XP,2.44772,-8136.07,0.999914,98,GOOD
bpm1i04XM,2.4526,-7284.76,0.999959,98,GOOD
bpm1i04YP,2.43896,-5613.51,0.999904,98,GOOD
bpm1i04YM,2.44402,-7669.18,0.999929,98,GOOD
bpm1i05XP,2.45524,-11407.9,0.999907,98,GOOD
bpm1i05XM,2.43879,-11141.9,0.999957,98,GOOD
bpm1i05YP,2.4531,-9586.4,0.999942,98,GOOD
bpm1i05YM,2.4497,-9233.04,0.999944,98,GOOD
bpm1i07XP,2.45198,-11023.8,0.999929,98,GOOD
bpm1i07XM,2.42823,-11598.4,0.999942,98,GOOD
bpm1i07YP,2.44844,-8346.69,0.999933,98,GOOD
bpm1i07YM,2.45957,-8011.49,0.999943,98,GOOD
bpm0i07XP,2.45841,212.37,0.999835,98,GOOD
bpm0i07XM,2.44638,-1440.82,0.999831,98,GOOD
bpm0i07YP,2.34628,140.052,0.983022,98,GOOD
bpm0i07YM,2.45429,1347.68,0.999879,98,GOOD
bpm0l01XP,2.43982,3391.2,0.999882,98,GOOD
bpm0l01XM,2.45787,2989.69,0.99989,98,GOOD
bpm0l01YP,9.59053e-06,-43967,0.77992,98,BAD
bpm0l01YM,2.45468,6098.11,0.999882,98,GOOD
bpm0l02XP,2.44034,-3087.8,0.99991,98,GOOD
bpm0l02XM,2.43793,380.402,0.999868,98,GOOD
bpm0l02YP,2.42952,-5493.9,0.999852,98,GOOD
bpm0l02YM,2.44285,-39.6063,0.999891,98,GOOD
bpm0l03XP,2.43089,335.932,0.999773,98,GOOD
bpm0l03XM,2.4411,-1240.74,0.999783,98,GOOD
bpm0l03YP,-1.14883,131865,-0.457241,98,BAD
bpm0l03YM,2.41404,716.239,0.984308,98,GOOD
bpm0l04XP,2.42118,27002,0.999794,98,GOOD
bpm0l04XM,2.43789,27055,0.999741,98,GOOD
bpm0l04YP,2.4353,27096.3,0.999524,98,GOOD
bpm0l04YM,2.44452,26944.5,0.999367,98,GOOD
bpm0l05XP,2.42799,23416,0.999727,98,GOOD
bpm0l05XM,2.42056,24327.5,0.999876,98,GOOD
bpm0l05YP,2.42359,31302.7,0.999799,98,GOOD
bpm0l05YM,2.43639,28921.3,0.999828,98,GOOD
bpm0l06XP,2.44111,15154.3,0.995255,98,GOOD
bpm0l06XM,2.46812,14631,0.999529,98,GOOD
bpm0l06YP,2.42757,14400.5,0.994203,98,GOOD
bpm0l06YM,2.44529,13963.3,0.985017,98,GOOD
bpm0r05XP,2.45199,9914.61,0.999892,98,GOOD
bpm0r05XM,2.42901,9884.12,0.999901,98,GOOD
bpm0r05YP,2.45281,8489.21,0.999911,98,GOOD
bpm0r05YM,2.42844,8547.24,0.999903,98,GOOD
bpm0l07XP,2.42228,36452.3,0.999232,98,GOOD
bpm0l07XM,2.41914,36702.7,0.999289,98,GOOD
bpm0l07YP,2.41566,24734.3,0.999883,98,GOOD
bpm0l07YM,2.44364,24865.1,0.999798,98,GOOD
bpm0l08XP,2.43071,19816.5,0.999821,98,GOOD
bpm0l08XM,2.43538,19723.7,0.999874,98,GOOD
bpm0l08YP,2.45331,10799,0.99991,98,GOOD
bpm0l08YM,2.42724,10795.3,0.999859,98,GOOD
bpm0l09XP,2.43877,18534.1,0.999874,98,GOOD
bpm0l09XM,2.45565,18693.4,0.999878,98,GOOD
bpm0l09YP,2.41951,17338.8,0.999901,98,GOOD
bpm0l09YM,2.43974,17273.1,0.99985,98,GOOD
bpm0l10XP,2.43085,15280.2,0.999889,98,GOOD
bpm0l10XM,2.43943,14898.7,0.999905,98,GOOD
bpm0l10YP,2.44004,17697.7,0.999913,98,GOOD
bpm0l10YM,2.43834,17498.7,0.999835,98,GOOD
bpm0r03XP,2.44818,19789.2,0.999893,98,GOOD
bpm0r03XM,2.44278,20141,0.999762,98,GOOD
bpm0r03YP,2.45731,17649.3,0.999796,98,GOOD
bpm0r03YM,2.44079,17829.2,0.99989,98,GOOD
bpm0i01XP,2.43893,-18248.2,0.999929,98,GOOD
bpm0i01XM,2.4199,-11068.9,0.999887,98,GOOD
bpm0i01YP,2.44295,-12459.9,0.999882,98,GOOD
bpm0i01YM,3.3303,10210,0.999922,98,GOOD
bpm0i01bXP,2.46342,-13025.9,0.999948,98,GOOD
bpm0i01bXM,2.46912,-12862.8,0.999941,98,GOOD
bpm0i01bYP,2.44797,-4884.83,0.999945,98,GOOD
bpm0i01bYM,2.46192,-4004.35,0.999936,98,GOOD
bpm0i05XP,2.4373,-15572.1,0.999962,98,GOOD
bpm0i05XM,2.44267,-10262.8,0.999884,98,GOOD
bpm0i05YP,2.48574,-9360.73,0.999947,98,GOOD
bpm0i05YM,2.45773,-10521.6,0.999888,98,GOOD
