Run,Channel,Entries,Mean,MeanError,RMS,Min,Max
1307,tq01_r1,10353,1.771,0.000154397,0.0157098,1.71489,1.82924
1307,tq01_r2,10353,1.80022,0.00016098,0.0163797,1.73875,1.85848
1307,tq01_r3,10353,1.78669,0.000156852,0.0159597,1.73101,1.85315
1307,tq01_r4,10353,1.81086,0.000159298,0.0162086,1.74714,1.87764
1307,tq01_r5l,10353,1.8051,0.000158366,0.0161137,1.74757,1.87926
1307,tq01_r5c,10353,1.84998,0.000168258,0.0171202,1.79176,1.91343
1307,tq01_r5r,10353,1.80451,0.00015725,0.0160002,1.7365,1.8654
1307,tq01_r6,10353,1.79137,0.000161779,0.0164609,1.73609,1.86606
1307,tq02_r1,10353,1.8156,0.000157608,0.0160366,1.75338,1.87247
1307,tq02_r2,10353,1.80894,0.000162109,0.0164946,1.73995,1.87257
1307,tq02_r3,10353,1.77343,0.000157026,0.0159774,1.71167,1.84902
1307,tq02_r4,10353,1.81502,0.000160692,0.0163504,1.7525,1.88516
1307,tq02_r5l,10353,1.82867,0.000163213,0.0166069,1.76359,1.89744
1307,tq02_r5c,10353,1.80278,0.00016099,0.0163807,1.74016,1.87576
1307,tq02_r5r,10353,1.80375,0.000161498,0.0164323,1.75116,1.8758
1307,tq02_r6,10353,1.82421,0.000159295,0.0162082,1.76714,1.88682
1307,tq03_r1,10353,1.76944,0.000156273,0.0159007,1.69824,1.83551
1307,tq03_r2,10353,1.78487,0.000158773,0.0161551,1.7296,1.85139
1307,tq03_r3,10353,1.79963,0.00015794,0.0160704,1.74041,1.86215
1307,tq03_r4,10353,1.7954,0.000161292,0.0164114,1.73704,1.86696
1307,tq03_r5l,10353,1.79948,0.000156957,0.0159703,1.73516,1.86638
1307,tq03_r5c,10353,1.83922,0.000161526,0.0164352,1.77357,1.90379
1307,tq03_r5r,10353,1.87258,0.000161423,0.0164247,1.81243,1.93522
1307,tq03_r6,10353,1.87781,0.000164058,0.0166929,1.81667,1.94114
1307,tq04_r1,10353,1.80046,0.000160231,0.0163034,1.7429,1.86175
1307,tq04_r2,10353,1.79358,0.000156301,0.0159036,1.73522,1.84972
1307,tq04_r3,10353,1.77318,0.000155849,0.0158576,1.71865,1.82807
1307,tq04_r4,10353,1.79625,0.000156378,0.0159114,1.7333,1.85949
1307,tq04_r5l,10353,1.80739,0.00016119,0.016401,1.74677,1.86742
1307,tq04_r5c,10353,1.7857,0.000157051,0.0159799,1.72119,1.84368
1307,tq04_r5r,10353,1.82533,0.00015982,0.0162616,1.76431,1.88572
1307,tq04_r6,10353,1.80295,0.000157272,0.0160024,1.73896,1.8593
1307,tq05_r1,10353,1.80887,0.000160018,0.0162818,1.75183,1.87572
1307,tq05_r2,10353,1.78803,0.00015911,0.0161894,1.71901,1.84858
1307,tq05_r3,10353,1.79457,0.000158877,0.0161656,1.73571,1.86473
1307,tq05_r4,10353,2.04843,0.000172054,0.0175064,1.98575,2.12921
1307,tq05_r5l,10353,1.795,0.000161301,0.0164124,1.72615,1.85802
1307,tq05_r5c,10353,1.75584,0.000154502,0.0157206,1.69343,1.81572
1307,tq05_r5r,10353,1.81552,0.000160466,0.0163273,1.74721,1.88164
1307,tq05_r6,10353,1.85862,0.000163358,0.0166216,1.79567,1.91409
1307,tq06_r1,10353,1.80168,0.000158564,0.0161339,1.74142,1.86576
1307,tq06_r2,10353,1.79358,0.000159553,0.0162345,1.73096,1.8551
1307,tq06_r3,10353,1.78474,0.000157644,0.0160402,1.72406,1.85
1307,tq06_r4,10353,1.83991,0.000158225,0.0160993,1.78545,1.90413
1307,tq06_r5l,10353,1.85322,0.000162414,0.0165256,1.79172,1.91621
1307,tq06_r5c,10353,1.77906,0.000160011,0.0162811,1.72154,1.83912
1307,tq06_r5r,10353,1.77881,0.000156148,0.015888,1.7208,1.83769
1307,tq06_r6,10353,1.76639,0.000156373,0.0159109,1.69267,1.83635
1307,tq07_r1,10353,1.87156,0.000162978,0.016583,1.80838,1.93292
1307,tq07_r2,10353,1.7977,0.000166133,0.016904,1.73266,1.86485
1307,tq07_r3,10353,1.8165,0.000159479,0.0162269,1.75961,1.88629
1307,tq07_r4,10353,1.78726,0.000155897,0.0158625,1.72986,1.8482
1307,tq07_r5l,10353,1.81744,0.000158896,0.0161676,1.75886,1.87941
1307,tq07_r5c,10353,1.79246,0.000160217,0.016302,1.72619,1.85608
1307,tq07_r5r,10353,1.75858,0.000155455,0.0158175,1.69449,1.81447
1307,tq07_r6,10353,2.00983,0.000171174,0.0174169,1.94527,2.07698
1307,tq08_r1,10353,1.9586,0.000168637,0.0171588,1.89595,2.02042
1307,tq08_r2,10353,1.80869,0.000162707,0.0165554,1.749,1.87871
1307,tq08_r3,10353,2.1723,0.00018011,0.0183261,2.10542,2.24369
1307,tq08_r4,10353,1.82008,0.000162955,0.0165806,1.75747,1.879
1307,tq08_r5l,10353,1.84179,0.000163278,0.0166135,1.78659,1.90372
1307,tq08_r5c,10353,1.77376,0.000157184,0.0159935,1.71198,1.83822
1307,tq08_r5r,10353,1.81329,0.000160476,0.0163284,1.74501,1.87913
1307,tq08_r6,10353,1.85673,0.000162564,0.0165408,1.79195,1.92347
1307,tq09_r1,10353,1.82347,0.000161425,0.016425,1.76222,1.89734
1307,tq09_r2,10353,1.80734,0.000159571,0.0162363,1.7448,1.88228
1307,tq09_r3,10353,1.77651,0.000156618,0.0159358,1.71976,1.83674
1307,tq09_r4,10353,1.77288,0.000156776,0.0159519,1.71151,1.83522
1307,tq09_r5l,10353,1.80204,0.000159604,0.0162397,1.72993,1.8636
1307,tq09_r5c,10353,1.7791,0.000159521,0.0162312,1.70581,1.83853
1307,tq09_r5r,10353,1.82618,0.000160555,0.0163364,1.76326,1.88755
1307,tq09_r6,10353,1.78306,0.000155235,0.0157951,1.71346,1.85238
1307,tq10_r1,10353,1.88763,0.000165289,0.0168181,1.82558,1.9552
1307,tq10_r2,10353,1.88383,0.000163943,0.0166811,1.81888,1.96073
1307,tq10_r3,10353,1.78741,0.000162433,0.0165275,1.71896,1.846
1307,tq10_r4,10353,1.80945,0.000158566,0.016134,1.7411,1.88092
1307,tq10_r5l,10353,1.83102,0.0001618,0.0164631,1.76417,1.89696
1307,tq10_r5c,10353,1.78681,0.000159177,0.0161962,1.72621,1.84364
1307,tq10_r5r,10353,1.86784,0.000163157,0.0166011,1.80593,1.92873
1307,tq10_r6,10353,1.77295,0.00015935,0.0162139,1.71611,1.83945
1307,tq11_r1,10353,1.75902,0.000144761,0.0147294,1.70239,1.8219
1307,tq11_r2,10353,1.68023,0.000140805,0.0143269,1.6255,1.73232
1307,tq11_r3,10353,1.67983,0.000141142,0.0143612,1.62772,1.73685
1307,tq11_r4,10353,1.81281,0.000148591,0.0151191,1.75452,1.87629
1307,tq11_r5l,10353,1.77855,0.000147696,0.015028,1.72567,1.83145
1307,tq11_r5c,10353,1.65981,0.000138665,0.0141091,1.60948,1.71412
1307,tq11_r5r,10353,1.70271,0.000141143,0.0143613,1.6546,1.75643
1307,tq11_r6,10353,1.74674,0.000144803,0.0147336,1.68907,1.80095
1307,tq12_r1,10353,1.77492,0.000148082,0.0150673,1.72057,1.82616
1307,tq12_r2,10353,1.69042,0.000140994,0.0143461,1.63744,1.74608
1307,tq12_r3,10353,1.73152,0.000143807,0.0146324,1.67944,1.78236
1307,tq12_r4,10353,1.6595,0.000137857,0.0140269,1.60277,1.71339
1307,tq12_r5l,10353,1.6899,0.000140072,0.0142523,1.63409,1.74275
1307,tq12_r5c,10353,1.68737,0.000141094,0.0143563,1.6364,1.7419
1307,tq12_r5r,10353,1.73719,0.000144815,0.0147349,1.68713,1.80088
1307,tq12_r6,10353,1.66549,0.00013784,0.0140252,1.61554,1.71896
1307,tq13_r1,10353,1.77564,0.000145778,0.0148329,1.71942,1.82747
1307,tq13_r2,10353,1.72186,0.000142629,0.0145124,1.66977,1.77019
1307,tq13_r3,10353,2.01821,0.000160361,0.0163167,1.95175,2.07454
1307,tq13_r4,10353,1.68052,0.000138127,0.0140543,1.62317,1.74035
1307,tq13_r5l,10353,1.69656,0.000140701,0.0143163,1.64926,1.75514
1307,tq13_r5c,10353,1.72745,0.000143225,0.0145731,1.66708,1.7779
1307,tq13_r5r,10353,1.80711,0.000146338,0.0148899,1.75381,1.87219
1307,tq13_r6,10353,1.7357,0.000145286,0.0147829,1.67321,1.80063
1307,tq14_r1,10353,1.71607,0.000143506,0.0146017,1.66152,1.77009
1307,tq14_r2,10353,1.70282,0.000140977,0.0143444,1.65229,1.76745
1307,tq14_r3,10353,1.76418,0.000148436,0.0151033,1.70107,1.82256
1307,tq14_r4,10353,1.69913,0.000143358,0.0145866,1.65016,1.75399
1307,tq14_r5l,10353,1.694,0.000142228,0.0144716,1.63872,1.74831
1307,tq14_r5c,10353,1.71629,0.000142202,0.0144691,1.65532,1.78739
1307,tq14_r5r,10353,1.83247,0.00015048,0.0153113,1.78016,1.89555
1307,tq14_r6,10353,1.71405,0.00014538,0.0147923,1.65925,1.76648
1307,tq15_r1,10353,1.72736,0.000144109,0.014663,1.67676,1.78025
1307,tq15_r2,10353,1.67411,0.000140104,0.0142555,1.61913,1.73063
1307,tq15_r3,10353,1.82346,0.000150732,0.0153369,1.76443,1.87696
1307,tq15_r4,10353,1.71207,0.00014313,0.0145635,1.65851,1.76763
1307,tq15_r5l,10353,1.76392,0.000146549,0.0149113,1.71118,1.81803
1307,tq15_r5c,10353,1.6517,0.000136865,0.013926,1.59606,1.70828
1307,tq15_r5r,10353,1.83601,0.000152575,0.0155244,1.77652,1.90694
1307,tq15_r6,10353,1.68427,0.000139944,0.0142393,1.61779,1.74112
1307,tq16_r1,10353,1.75592,0.000145395,0.0147939,1.70082,1.81621
1307,tq16_r2,10353,1.76509,0.00014539,0.0147934,1.70811,1.82013
