Channel,Von_cal,Voff_cal,Mon,Moff,Gain,Mped,Status
bpm2i00XP,36801.3,8898.02,88952.4,20406.9,2.45654,-1451.45,GOOD
bpm2i00XM,30486.5,8982.66,73850.4,21100.3,2.45305,-934.604,GOOD
bpm2i00YP,30588,10577.4,74946.6,25810.9,2.45549,-161.994,GOOD
bpm2i00YM,36880.2,10737.1,89605.9,25651.3,2.44633,-615.357,GOOD
bpm2i00aXP,33009.1,17384.8,69468.2,31199.6,2.44929,-11380.8,GOOD
bpm2i00aXM,41405.5,17627,89159.5,31108.3,2.44133,-11925,GOOD
bpm2i00aYP,36440.8,12671.9,82049.8,23421,2.46662,-7835.69,GOOD
bpm2i00aYM,39433.2,12767.3,89015.5,23599.5,2.45317,-7720.8,GOOD
bpm2i01aXP,39570.3,10716.9,89139,18149.7,2.46035,-8217.67,GOOD
bpm2i01aXM,30278.8,10342.6,67293.7,18360.5,2.4545,-7025.44,GOOD
bpm2i01aYP,38726,9848.75,90055.6,19084.9,2.45767,-5120.13,GOOD
bpm2i01aYM,32350.4,9857.5,74534,19820.7,2.43247,-4157.37,GOOD
bpm1i02XP,41549,12896.2,89399,19826.7,2.42811,-11486.7,GOOD
bpm1i02XM,36529.8,11868.7,89603,24451,2.64189,-6904.7,GOOD
bpm1i02YP,40236,13614.7,56979.9,25045.6,1.19958,8713.7,GOOD
bpm1i02YM,26233.9,13190.3,79166.8,18461,4.65409,-42927.9,GOOD
bpm1i04XP,34349.1,9199.63,75943.5,14378.7,2.44795,-8141.51,GOOD
bpm1i04XM,40026.9,9009.37,90886.8,14809.8,2.45271,-7287.51,GOOD
bpm1i04YP,26145.8,8884.93,58157,16054.1,2.43921,-5618.05,GOOD
bpm1i04YM,40582.8,9733.04,91518.3,16115.4,2.4442,-7674.08,GOOD
bpm1i05XP,35362.6,8254.19,75418.7,8854.35,2.45548,-11413.7,GOOD
bpm1i05XM,40058.1,8208.68,86552.7,8875.41,2.43889,-11144.7,GOOD
bpm1i05YP,32680,7910.69,70582.5,9817.27,2.45325,-9589.64,GOOD
bpm1i05YM,39013.6,7797.41,86340.6,9865.73,2.44985,-9236.72,GOOD
bpm1i07XP,27719.4,7803.71,56945.2,8108.67,2.45216,-11027.3,GOOD
bpm1i07XM,40867.9,8056.02,87640.6,7960.78,2.42838,-11602.3,GOOD
bpm1i07YP,34806.5,6836.32,76877.1,8389.09,2.44861,-8350.37,GOOD
bpm1i07YM,39064.8,6455.85,88073.4,7864.35,2.45972,-8015.24,GOOD
bpm0i07XP,35967.5,12596.8,88639.3,31174.8,2.45883,201.488,GOOD
bpm0i07XM,33095.8,13685,79527.5,32033.4,2.44679,-1451.03,GOOD
bpm0i07YP,15945.8,14765.3,37576.5,34754.3,2.39074,-545.834,GOOD
bpm0i07YM,35663.9,13637.6,88880.2,34814.4,2.4546,1339.65,GOOD
bpm0l01XP,34238.2,6298.57,86930.1,18753.9,2.44012,3384.64,GOOD
bpm0l01XM,30260.8,6885.18,77369.5,19909,2.45814,2984.21,GOOD
bpm0l01YP,34649,7448.27,-43966.7,-43966.9,9.59124e-06,-43967,GAIN_OUTLIER
bpm0l01YM,26620.3,6113.8,71445,21102.2,2.45497,6092.96,GOOD
bpm0l02XP,37958,8153.86,89545.4,16806.5,2.44057,-3093.52,GOOD
bpm0l02XM,31846.6,7014.34,78023.8,17476.2,2.43826,373.371,GOOD
bpm0l02YP,38335,10668,87646.2,20418.4,2.42989,-5503.64,GOOD
bpm0l02YM,34943,7122.51,85324.4,17355.4,2.44312,-45.729,GOOD
bpm0l03XP,32742.2,14393.8,79933.2,35320,2.43145,322.28,GOOD
bpm0l03XM,37651,14011.9,90674.8,32956.4,2.44165,-1255.93,GOOD
bpm0l03YP,36411.2,36329,90183.5,89939.5,0,0,LOW_V_SEPARATION
bpm0l03YM,24964.8,35061.1,60816,85567.9,2.45159,-387.469,GOOD
bpm0l04XP,24196.1,3668.65,85589.5,35878.8,2.42168,26994.5,GOOD
bpm0l04XM,25808.7,3686.35,89980.4,36033.7,2.43856,27044.3,GOOD
bpm0l04YP,25639.6,8637.64,89545.4,48119.9,2.43651,27074.3,GOOD
bpm0l04YM,24777.1,11791.7,87521.6,55758.2,2.44609,26914.5,GOOD
bpm0l05XP,17637.4,2564.14,66243.9,29635.6,2.4287,23408.1,GOOD
bpm0l05XM,27138.5,1002.68,90021.3,26749.9,2.42087,24322.5,GOOD
bpm0l05YP,18251.1,241.858,75540,31883.6,2.42411,31297.3,GOOD
bpm0l05YM,24934.2,3652.54,89674.7,37815.1,2.43683,28914.5,GOOD
bpm0l06XP,30217.7,15931.7,88991.2,53952.7,2.45265,14877.9,GOOD
bpm0l06XM,27985.3,8850.63,83711.6,36462.9,2.46927,14608.3,GOOD
bpm0l06YP,24960,15140.6,75055.2,51075.8,2.44204,14101.8,GOOD
bpm0l06YM,30884.4,22999.3,89614,70037.8,2.4827,12937.3,GOOD
bpm0r05XP,29068.1,-10.8146,81192.9,9883.69,2.45226,9910.21,GOOD
bpm0r05XM,32544.4,-41.3669,88938.3,9779.08,2.42926,9879.57,GOOD
bpm0r05YP,32961.8,0.459519,89341.5,8486.18,2.45303,8485.06,GOOD
bpm0r05YM,27953.3,-40.4003,76433.4,8445.1,2.4287,8543.22,GOOD
bpm0l07XP,23810.2,594.864,94158.4,37853.4,2.42534,36410.7,GOOD
bpm0l07XM,22693.2,172.579,91629.4,37083.7,2.42203,36665.8,GOOD
bpm0l07YP,28780.5,413.581,94262,25728.5,2.41596,24729.3,GOOD
bpm0l07YM,23274,415.689,81743.8,25873.9,2.44418,24857.8,GOOD
bpm0l08XP,26254.2,1095.53,83638,22472.8,2.43118,19809.4,GOOD
bpm0l08XM,29603.4,134.113,91823.6,20045,2.43571,19718.3,GOOD
bpm0l08YP,33327.5,133.407,92565.2,11121.9,2.45355,10794.5,GOOD
bpm0l08YM,33005,-59.8224,90911.8,10643.1,2.42762,10788.3,GOOD
bpm0l09XP,30765.9,-46.6932,93569.6,18414.6,2.4391,18528.4,GOOD
bpm0l09XM,28898.2,123.736,89661.3,18992.3,2.45596,18688.4,GOOD
bpm0l09YP,31539.5,733.231,93652.5,19108.4,2.41977,17334.2,GOOD
bpm0l09YM,28866.9,24.1633,87706.1,17325.5,2.44015,17266.6,GOOD
bpm0l10XP,31190,63.8412,91102.5,15430.2,2.43115,15275,GOOD
bpm0l10XM,32371.7,483.44,93870.7,16073.6,2.43968,14894.1,GOOD
bpm0l10YP,31164.2,585.285,93742.7,19121.6,2.44028,17693.4,GOOD
bpm0l10YM,24829.2,847.469,78045.8,19558.9,2.43881,17492.1,GOOD
bpm0r03XP,30871.1,-42.3004,95371,19680.7,2.44846,19784.3,GOOD
bpm0r03XM,25884.2,-40.6705,83378.2,20031.8,2.44346,20131.2,GOOD
bpm0r03YP,29868.2,-14.8988,91052.3,17603.4,2.45787,17640,GOOD
bpm0r03YM,31866.8,-50.8101,95613.7,17699.8,2.44109,17823.8,GOOD
bpm0i01XP,43461.4,17773.6,87753.1,25097.8,2.43911,-18254,GOOD
bpm0i01XM,38587.7,15098.4,82312.4,25463.8,2.42019,-11077.2,GOOD
bpm0i01YP,40750,14655.8,87093.5,23339.5,2.44323,-12467.9,GOOD
