Run,Frequency_Hz,Channel,EventsUsed,FitAmplitude_ADC,FitPhase,FitOffset_ADC,MeasuredRMS_ADC,ExpectedRMS_FromFit_ADC,ResidualRMS_ADC,PeakToPeak_ADC,AmplitudeRatioTo10Hz,RMSAmplitude_Est_ADC,RMSAmplitudeRatioTo10Hz,ExpectedInputAmplitude_V,ExpectedInputRMS_V,ExpectedInputPeakToPeak_V,ExpectedInputMean_V
1371,10,tq05_r1,960,59540.3,-0.383895,-3090.85,42101.4,42101.3,42.6412,119083,1,59540.3,1,2,1.41421,4,0
1371,10,tq05_r2,960,59553.2,-0.383895,-3066.4,42110.5,42110.5,42.6294,119109,1,59553.3,1,2,1.41421,4,0
1370,15,tq05_r1,640,59576.6,1.35445,-2996.33,42163.5,42127,1753.35,119088,1.00061,59628.2,1.00148,2,1.41421,4,0
1370,15,tq05_r2,640,59589.2,4.49604,-2971.61,42172.4,42135.9,1753.7,119113,1.0006,59640.8,1.00147,2,1.41421,4,0
1369,20,tq05_r1,480,59005.4,-0.126429,-3095.79,41984.7,41723.1,4679.91,119060,0.991016,59375.4,0.99723,2,1.41421,4,0
1369,20,tq05_r2,480,59018,-0.126428,-3070.79,41993.7,41732,4680.91,119085,0.991013,59388.1,0.997227,2,1.41421,4,0
1368,50,tq05_r1,192,59472.2,7.79893,-3085.07,42053.2,42053.2,42.0281,118933,0.998856,59472.2,0.998856,2,1.41421,4,0
1368,50,tq05_r2,192,59484.8,17.2237,-3060.34,42062.1,42062.1,42.1391,118959,0.99885,59484.8,0.99885,2,1.41421,4,0
1367,100,tq05_r1,96,59257.2,-0.841437,-3091.47,41901.2,41901.2,42.1433,118332,0.995245,59257.2,0.995245,2,1.41421,4,0
1367,100,tq05_r2,96,59269.8,-0.841436,-3066.94,41910.1,41910.1,42.0463,118356,0.995241,59269.8,0.995241,2,1.41421,4,0
