Channel,BaselineMean,BaselineRMS,RMSMean,RMSRMS,Entries
tq05_r1,-43756.6,0.25686,1.80805,0.0162706,14144
tq05_r2,-1590.66,0.111681,1.70926,0.0145771,14144
tq05_r3,-1582.02,0.140886,1.73724,0.014947,14144
tq05_r4,-1580.71,0.111665,2.04523,0.0169279,14144
tq05_r5l,-43773.6,0.206059,1.79488,0.0161109,14144
tq05_r5c,-43838.4,0.213503,1.75573,0.0159552,14144
tq05_r5r,-43449.6,0.229533,1.81558,0.0163096,14144
tq05_r6,-43619.3,0.22909,1.8587,0.0166355,14144
tq06_r1,-43677.4,0.246711,1.80112,0.0163956,14144
tq06_r2,-43451.7,0.216594,1.79336,0.0163453,14144
tq06_r3,-43708.9,0.209853,1.78468,0.0160248,14144
tq06_r4,-43630.9,0.214434,1.84003,0.0164417,14144
tq06_r5l,-43866.7,0.237851,1.85328,0.0163685,14144
tq06_r5c,-43437.5,0.221333,1.77891,0.0160442,14144
tq06_r5r,-43578.3,0.220763,1.77907,0.0160381,14144
tq06_r6,-43817.3,0.216786,1.76624,0.0158603,14144
