Run,Vpp,Channel,Entries,Mean_ADC,RMS_ADC,RMSAmplitude_ADC,RMSAmplitudeError_ADC,RMSAmplitudePerVpp_ADC
1379,0.5,tq05_r1,7197,-3112.95,5260.04,7438.82,62.0031,14877.6
1379,0.5,tq05_r2,7197,-3087.76,5261.18,7440.43,62.0165,14880.9
1380,1,tq05_r1,5713,-3137.51,10517.3,14873.7,139.146,14873.7
1380,1,tq05_r2,5713,-3112.71,10519.5,14876.8,139.175,14876.8
1381,2,tq05_r1,5387,-3131.62,21038.2,29752.5,286.639,14876.3
1381,2,tq05_r2,5387,-3106.71,21042.6,29758.8,286.699,14879.4
1382,3,tq05_r1,5441,-3126.99,31560,44632.6,427.856,14877.5
1382,3,tq05_r2,5441,-3102.14,31566.8,44642.1,427.948,14880.7
1385,4,tq05_r1,5540,-3100.89,42080.6,59510.9,565.362,14877.7
1385,4,tq05_r2,5540,-3075.83,42089.9,59524.1,565.487,14881
1386,5,tq05_r1,5300,-3093.62,52595.4,74381.1,722.453,14876.2
1386,5,tq05_r2,5300,-3068.65,52606.8,74397.3,722.61,14879.5
1387,6,tq05_r1,5287,-3109.18,63105.7,89244.9,867.888,14874.2
1387,6,tq05_r2,5287,-3084.23,63119.4,89264.3,868.077,14877.4
1388,7,tq05_r1,5709,-3075.65,73630.3,104129,974.488,14875.6
1388,7,tq05_r2,5709,-3050.69,73646.6,104152,974.704,14878.9
1389,7.5,tq05_r1,4129,-3308,78935.9,111632,1228.44,14884.3
1389,7.5,tq05_r2,4129,-3283.3,78953.4,111657,1228.71,14887.6
1390,8,tq05_r1,5143,-3084.25,84148.4,119004,1173.38,14875.5
1390,8,tq05_r2,5143,-3059.7,84166.6,119029,1173.63,14878.7
