Quantity,Block,Mean,RMS,Entries,N_gt_5sigma,Fraction_gt_5sigma,N_gt_10sigma,Fraction_gt_10sigma
BlockRMS,0,1.71116,0.0278155,215869,NA,NA,NA,NA
BlockRMS,1,1.71112,0.0277936,215869,NA,NA,NA,NA
BlockRMS,2,1.71108,0.0277335,215869,NA,NA,NA,NA
BlockRMS,3,1.7112,0.0277513,215869,NA,NA,NA,NA
FullWindowRMS,-1,1.71435,0.014243,215869,NA,NA,NA,NA
Width,0,11.5773,0.896113,215869,NA,NA,NA,NA
Width,1,11.5785,0.893781,215869,NA,NA,NA,NA
Width,2,11.5749,0.892451,215869,NA,NA,NA,NA
Width,3,11.5789,0.895086,215869,NA,NA,NA,NA
LargestDistanceOverRMS,0,3.58807,0.334603,215869,216,0.00100061,0,0
LargestDistanceOverRMS,1,3.58789,0.333337,215869,202,0.000935753,0,0
LargestDistanceOverRMS,2,3.58716,0.333588,215869,240,0.00111179,0,0
LargestDistanceOverRMS,3,3.58825,0.334281,215869,251,0.00116274,0,0
RawMaxDistanceOverRMS,0,3.38408,0.365144,215869,137,0.000634644,0,0
RawMaxDistanceOverRMS,1,3.38499,0.363562,215869,123,0.00056979,0,0
RawMaxDistanceOverRMS,2,3.38339,0.363421,215869,163,0.000755088,0,0
RawMaxDistanceOverRMS,3,3.38403,0.364135,215869,160,0.00074119,0,0
RawMinDistanceOverRMS,0,3.38161,0.364593,215869,86,0.00039839,0,0
RawMinDistanceOverRMS,1,3.38158,0.364539,215869,90,0.00041692,0,0
RawMinDistanceOverRMS,2,3.38121,0.36442,215869,90,0.00041692,0,0
RawMinDistanceOverRMS,3,3.38244,0.365108,215869,98,0.000453979,0,0
