Run,Channel,Mean_RMS,MeanError_RMS,RMS_of_RMS,Entries,Min,Max
1307,tq01_r1,1.771,0.000154309,0.0157002,10353,1.71489,1.82924
1307,tq01_r2,1.80022,0.000160897,0.0163704,10353,1.73875,1.85848
1307,tq01_r3,1.78669,0.000156736,0.0159471,10353,1.73101,1.85315
1307,tq01_r4,1.81085,0.000159183,0.0161961,10353,1.74714,1.87764
1307,tq01_r5l,1.8051,0.000158219,0.0160979,10353,1.74757,1.87926
1307,tq01_r5c,1.84997,0.000168163,0.0171097,10353,1.79176,1.91343
1307,tq01_r5r,1.8045,0.000157155,0.0159897,10353,1.7365,1.8654
1307,tq01_r6,1.79136,0.000161634,0.0164454,10353,1.73609,1.86606
1307,tq02_r1,1.8156,0.000157528,0.0160276,10353,1.75338,1.87247
1307,tq02_r2,1.80893,0.000162008,0.0164835,10353,1.73995,1.87257
1307,tq02_r3,1.77343,0.000156871,0.0159608,10353,1.71167,1.84902
1307,tq02_r4,1.81502,0.000160565,0.0163366,10353,1.7525,1.88516
1307,tq02_r5l,1.82866,0.000163094,0.016594,10353,1.76359,1.89744
1307,tq02_r5c,1.80278,0.000160851,0.0163658,10353,1.74016,1.87576
1307,tq02_r5r,1.80375,0.000161363,0.0164179,10353,1.75116,1.8758
1307,tq02_r6,1.8242,0.000159196,0.0161973,10353,1.76714,1.88682
1307,tq03_r1,1.76943,0.000156158,0.0158882,10353,1.69824,1.83551
1307,tq03_r2,1.78486,0.000158658,0.0161426,10353,1.7296,1.85139
1307,tq03_r3,1.79963,0.00015784,0.0160594,10353,1.74041,1.86215
1307,tq03_r4,1.79539,0.000161159,0.0163971,10353,1.73704,1.86696
1307,tq03_r5l,1.79947,0.000156839,0.0159576,10353,1.73516,1.86638
1307,tq03_r5c,1.83921,0.000161421,0.0164237,10353,1.77357,1.90379
1307,tq03_r5r,1.87257,0.000161325,0.016414,10353,1.81243,1.93522
1307,tq03_r6,1.8778,0.00016396,0.0166821,10353,1.81667,1.94114
1307,tq04_r1,1.80046,0.000160137,0.0162931,10353,1.7429,1.86175
1307,tq04_r2,1.79357,0.000156222,0.0158948,10353,1.73522,1.84972
1307,tq04_r3,1.77317,0.000155774,0.0158492,10353,1.71865,1.82807
1307,tq04_r4,1.79624,0.000156273,0.0159,10353,1.7333,1.85949
1307,tq04_r5l,1.80738,0.000161101,0.0163912,10353,1.74677,1.86742
